,Tweets,len,ID,Date,Source,Likes,RTs,Place
152,"""I love the United States, and I love the United States Constitution.""

Judge Amy Coney Barrett is announced by Pre… https://t.co/ENXnb0vgXy",140,1309984204361474049,2020-09-26 22:32:27,Twitter Media Studio,137,60,
153,"Joe Biden is favored to win the 2020 election—but there’s still time for the race to tighten, according to… https://t.co/MIA8te3xrr",131,1309982556910166016,2020-09-26 22:25:54,SocialFlow,380,104,
154,Four Senate races to watch as Republicans rush to fill Justice Ruth Bader Ginsburg's seat. Via @FiveThirtyEight. https://t.co/feFVYlqA16,136,1309977059654021120,2020-09-26 22:04:03,SocialFlow,51,23,
155,Support for the right to abortion at the Supreme Court already was limited. https://t.co/ATL7NTS43J,99,1309976800420864000,2020-09-26 22:03:02,SocialFlow,69,28,
156,"""I lost my mother because no ambulance came on time to attend to her. The helplessness I felt, I don't wish that on… https://t.co/T2lhRwD5N5",140,1309974289379192840,2020-09-26 21:53:03,SocialFlow,90,31,
157,"RT @FiveThirtyEight: Amy Coney Barrett replacing RBG is one of the largest swings on the modern Supreme Court since 1953: 

https://t.co/SZ…",140,1309973930158030848,2020-09-26 21:51:37,TweetDeck,0,90,
158,Joe Biden’s supporters are far more likely to say the Supreme Court vacancy makes it more important to them that he… https://t.co/0lTDr6pNo3,140,1309970728096333826,2020-09-26 21:38:54,SocialFlow,225,58,
159,"""Doug thinks I woke him up, but he woke me up to my purpose in life.""

A black flight attendant and white airline C… https://t.co/HzkA1YBQrX",140,1309970258032238594,2020-09-26 21:37:02,SocialFlow,154,33,
160,How to vote via absentee ballot in 2020 election on Nov. 3. https://t.co/akCDtdrpt2,83,1309969514457714689,2020-09-26 21:34:04,SocialFlow,35,23,
161,"With less than two months to go before the U.S. presidential election, many Americans are worried about voting safe… https://t.co/vw5mTbSVdc",140,1309969263642529792,2020-09-26 21:33:05,SocialFlow,61,30,
162,"""I have no illusions that the road ahead of me will be easy,"" Judge Amy Coney Barrett says.

""I never imagined that… https://t.co/MclCQLrXBw",140,1309969256315064320,2020-09-26 21:33:03,SnapStream TV Search,123,38,
163,Democrats and Republicans are exchanging accusations of hypocrisy as they sling prior statements made on Senate con… https://t.co/IVfPbvkLji,140,1309969168473755648,2020-09-26 21:32:42,SocialFlow,65,22,
164,"Amy Coney Barrett on the late Justice Antonin Scalia: ""His judicial philosophy is mine, too.""… https://t.co/uXYK19Whbm",118,1309968529358229505,2020-09-26 21:30:10,SnapStream TV Search,197,49,
165,"Kamala Harris: ""With the next Supreme Court Justice set to determine the fate of...preexisting health conditions, a… https://t.co/K4RBMy9uOO",140,1309968075631063041,2020-09-26 21:28:21,SocialFlow,512,173,
166,"Amy Coney Barrett remembers Justice Ruth Bader Ginsburg, and praises her ""long and deep friendship"" with Justice An… https://t.co/6KqAbQcKUC",140,1309967848232701954,2020-09-26 21:27:27,SnapStream TV Search,177,53,
167,"NEW: Joe Biden on nomination of Amy Coney Barrett for the Supreme Court: ""The Senate should not act on this vacancy… https://t.co/VfVnW8VA1i",140,1309966745394982918,2020-09-26 21:23:04,SocialFlow,1157,348,
168,"""I love the United States, and I love the United States Constitution,"" Amy Coney Barrett says after Pres. Trump ann… https://t.co/ofDqsz5ubX",140,1309966308528795650,2020-09-26 21:21:20,SnapStream TV Search,204,59,
169,"Amy Coney Barrett, Pres. Trump's pick to fill Ruth Bader Ginsburg's Supreme Court seat: ""If the Senate does me the… https://t.co/kCx6Db3kAZ",139,1309966048335101952,2020-09-26 21:20:18,SnapStream TV Search,766,180,
170,Pres. Trump lauds Amy Coney Barrett's qualifications ahead of an expected vote on her confirmation for the Supreme… https://t.co/HkCa0j5seK,139,1309965487435112449,2020-09-26 21:18:04,SnapStream TV Search,53,22,
171,"Pres. Trump on Amy Coney Barrett: ""I am supremely confident that Judge Barrett will issue rulings based solely upon… https://t.co/WGUSIivrFY",140,1309965346036690955,2020-09-26 21:17:31,SnapStream TV Search,126,35,
172,MORE: The move sets up what promises to be a bitter confirmation fight less than two months before Election Day. https://t.co/qJAuDJPTUU,136,1309964196763885570,2020-09-26 21:12:57,TweetDeck,55,25,
173,Pres. Trump reflects on Justice Ruth Bader Ginsburg at event announcing the nomination for her vacancy on the Supre… https://t.co/SYD42lOybt,140,1309963888511905793,2020-09-26 21:11:43,SnapStream TV Search,59,24,
174,Americans by a nearly 20-point margin say the next Supreme Court justice should be left to the winner of the presid… https://t.co/CVOWdf5HIP,140,1309963658949255169,2020-09-26 21:10:48,SocialFlow,2179,855,
175,BREAKING: Pres. Trump says he will nominate Judge Amy Coney Barrett to fill Ruth Bader Ginsburg's seat on the Supre… https://t.co/NVQCTkDglr,140,1309963398025818118,2020-09-26 21:09:46,SnapStream TV Search,371,147,
176,"""I stand before you today to fulfill one of my highest and most important duties under the United States Constituti… https://t.co/rTnuLJ8AK3",140,1309962910177931264,2020-09-26 21:07:50,SnapStream TV Search,698,128,
177,"""I stand before you today to fulfill one of my highest and most important duties under the United States Constituti… https://t.co/DfDc6iqYiz",140,1309962887486754816,2020-09-26 21:07:44,SnapStream TV Search,59,24,
178,ABC NEWS SPECIAL REPORT: Pres. Trump expected to nominate Amy Coney Barrett to fill Ruth Bader Ginsburg's Supreme C… https://t.co/4aLDizazDg,140,1309961577437655040,2020-09-26 21:02:32,Periscope,138,167,
179,"SEEING DOUBLE: Residents of New South Wales witnessed a lightning show behind not one, but two rainbows after a sto… https://t.co/ycPyKq7Yve",140,1309960957158981634,2020-09-26 21:00:04,SocialFlow,146,37,
180,"While there is no hard data broadly tracking diversity and inclusion efforts, several experts told @ABC News that t… https://t.co/UE4A1ObOA4",140,1309953922241622026,2020-09-26 20:32:07,SocialFlow,75,24,
181,"""We're not saying you can't have these goods. We're just saying they're not going to be right at the eye level of y… https://t.co/T9XZ5Y4a0P",140,1309953138590351360,2020-09-26 20:29:00,SocialFlow,110,21,
182,"A plane carrying Pres. Trump's expected nominee to fill Ruth Bader Ginsburg's seat on the Supreme Court, Amy Coney… https://t.co/TOaCV7jce3",139,1309948972736434179,2020-09-26 20:12:27,SocialFlow,203,78,
183,"Aerial footage shows the stunning fall colors of trees in Northeast Kingdom, Vermont. https://t.co/dADZ2gJU2r https://t.co/2QmWSgYN0G",133,1309945881714720770,2020-09-26 20:00:10,SocialFlow,790,197,
184,Air Force veteran aims to calm violence and help young victims in her community. https://t.co/0ravbMIZh7,104,1309938348128116737,2020-09-26 19:30:14,SocialFlow,101,24,
185,"The death of Supreme Court Justice Ruth Bader Ginsburg, the second woman to sit on the high court, felt like a pers… https://t.co/ijmwgl22SZ",140,1309934221889335296,2020-09-26 19:13:50,SocialFlow,546,100,
186,Police arrested a 25-year-old woman in a hit-and-run incident during demonstrations in Buffalo earlier this week ov… https://t.co/Vmz86pXkXV,140,1309929314893410311,2020-09-26 18:54:20,SocialFlow,80,42,
187,NASA pledges to land the 1st woman on the moon by 2024. https://t.co/tdtxmNcoeq,79,1309925052582895618,2020-09-26 18:37:24,SocialFlow,686,209,
188,"""I hope you never know the pain of your child being murdered 191 days in a row.""

Breonna Taylor's aunt, Bianca Aus… https://t.co/hfiUYpluxw",140,1309920769623891968,2020-09-26 18:20:23,SocialFlow,1155,388,
189,Finland has deployed coronavirus-sniffing dogs at its main international airport in a four-month trial of an altern… https://t.co/FsafF6IHv7,140,1309915679424950278,2020-09-26 18:00:09,SocialFlow,333,136,
190,Health officials issue a new warning against abusing the allergy medicine Benadryl after reports emerged of a so-ca… https://t.co/IUX6wJ3lpw,140,1309908540329521152,2020-09-26 17:31:47,SocialFlow,61,40,
191,A Maryland man has been sentenced to one year in jail after he hosted two parties against the governor's COVID-19 l… https://t.co/yU7djp7pcG,140,1309904618076483586,2020-09-26 17:16:12,SocialFlow,1503,312,
192,"BABY BOOM: Zookeepers bottle-feed koala, kangaroo, and wallaby joeys as animal park welcomes adorable newborns.… https://t.co/5eEuq257bA",136,1309900654559801344,2020-09-26 17:00:27,SocialFlow,568,125,
193,NEW: Cynthia Herriott-Sullivan has been appointed Rochester's new interim police chief—the first woman to hold the… https://t.co/SZaubUghnV,139,1309895260252897280,2020-09-26 16:39:01,SocialFlow,0,29,
194,"Is Ginsburg's death the end of Roe v. Wade?

 This time, some experts say, it could be. https://t.co/kp6TAuy83R",111,1309894007158444033,2020-09-26 16:34:02,SocialFlow,195,72,
195,"A scientist claims CDC ""slow-walked"" a study on masks until Pres. Trump wore one. https://t.co/SYFLShwVpl",105,1309890168644665344,2020-09-26 16:18:47,SocialFlow,237,133,
196,"SNACK ATTACK: This grizzly bear named ""Tundra"" at the Denver Zoo feasts on a host of snacks, including a peanut but… https://t.co/ujnscbb0FJ",140,1309885470969655298,2020-09-26 16:00:07,SocialFlow,95,22,
197,"People with substance use disorders may be more likely to become infected and die of COVID-19, according to a recen… https://t.co/atgWvG8MbL",140,1309879955489198080,2020-09-26 15:38:12,SocialFlow,111,56,
198,The Oregon State Authority reported 457 new cases on Friday—the single highest daily total since the pandemic began… https://t.co/098kytyJY8,140,1309875526111236096,2020-09-26 15:20:36,SocialFlow,73,45,
199,There's one thing customers at a beauty store in Kentucky were not looking for in the aisles—a slithering snake.… https://t.co/HWKOqSIqg5,137,1309870410700337152,2020-09-26 15:00:16,SocialFlow,203,81,
